,Region,District,Day,Scenario Type,Instance Number,Volume Letters,Volume Packages,Volume Others,Volume All,Total number of post objects with shipments,Total number of all post objects,TSP sequence default,TSP sequence solver,TSP recalc,Similarity%_recalc_seqsolver,Similarity%_recalc_seqdefault,Similarity%_seqdefault_seqsolver
0,Warmsen,31603-06,Monday,Sce_0,1,47,15,0,62,52,422,7847.73,7877.97,7148,22.64,45.28,16.98
1,Warmsen,31600-01,Monday,Sce_0,1,43,18,0,61,55,426,7814.82,8199.17,7332,45.61,35.09,38.6
2,Warmsen,31603-06,Monday,Sce_0,2,46,18,0,64,61,422,7835.51,7655.16,7062,16.13,22.58,22.58
3,Warmsen,31600-01,Monday,Sce_0,2,48,14,0,62,54,426,6973.22,7753.87,6707,62.5,17.86,17.86
4,Warmsen,31603-06,Monday,Sce_1,1,7,36,0,43,40,422,6422.47,6670.44,5868,12.2,43.9,21.95
5,Warmsen,31600-01,Monday,Sce_1,1,13,42,0,55,49,426,7091.61,7764.7,6729,25.49,31.37,37.25
6,Warmsen,31603-06,Monday,Sce_1,2,13,37,0,50,46,422,6883.26,6958.27,6296,12.77,12.77,31.91
7,Warmsen,31600-01,Monday,Sce_1,2,11,37,0,48,44,426,6638.04,6949.01,6131,43.48,8.7,23.91
8,Warmsen,31603-06,Monday,Sce_2,1,21,24,0,45,44,422,6992.82,6673.31,6397,62.22,28.89,26.67
9,Warmsen,31600-01,Monday,Sce_2,1,37,30,0,67,58,426,7502.55,8288.54,7036,41.67,33.33,38.33
10,Warmsen,31603-06,Monday,Sce_2,2,19,36,0,55,51,422,7457.22,7165.25,6663,32.69,28.85,23.08
11,Warmsen,31600-01,Monday,Sce_2,2,36,27,0,63,52,426,7118.85,7816.31,6827,22.22,18.52,24.07
12,Warmsen,31603-06,Friday,Sce_0,1,481,64,256,801,334,422,22579.87,21244.1,21057,67.16,19.4,18.81
13,Warmsen,31600-01,Friday,Sce_0,1,467,67,246,780,309,426,20895.71,22003.69,20524,54.66,25.4,27.97
14,Warmsen,31603-06,Friday,Sce_0,2,459,52,258,769,329,422,22378.52,21233.27,20796,64.55,20.91,21.52
15,Warmsen,31600-01,Friday,Sce_0,2,469,73,202,744,310,426,20721.36,21763.44,20125,58.65,26.28,30.45
16,Warmsen,31603-06,Friday,Sce_1,1,131,117,0,248,182,422,14764.18,14358.59,14279,16.94,33.33,24.04
17,Warmsen,31600-01,Friday,Sce_1,1,120,122,0,242,168,426,14302.4,15209.98,13732,50.0,24.12,30.59
18,Warmsen,31603-06,Friday,Sce_1,2,134,93,0,227,164,422,14532.81,13913.38,13396,4.85,38.18,18.18
19,Warmsen,31600-01,Friday,Sce_1,2,111,113,0,224,156,426,13759.81,14385.16,13259,39.87,33.54,25.32
20,Warmsen,31603-06,Friday,Sce_2,1,317,109,173,599,295,422,20188.21,19248.63,18864,59.12,16.89,19.26
21,Warmsen,31600-01,Friday,Sce_2,1,346,89,137,572,269,426,19331.61,20234.91,18554,50.92,24.72,30.63
22,Warmsen,31603-06,Friday,Sce_2,2,322,100,145,567,295,422,20086.52,19000.67,18762,53.38,22.64,24.32
23,Warmsen,31600-01,Friday,Sce_2,2,319,99,165,583,275,426,18864.05,19965.34,18435,61.73,24.55,29.24
